PRMS_segid,comid_down,comid_seg,comid_cat
270_1,4187951,4187219;4187223;4187321;4187351;4187355;4187935;4187951;24945301,4187201;4187213;4187219;4187223;4187225;4187247;4187275;4187321;4187349;4187351;4187355;4187935;4187951;4188073;4188089;4188091;24945301
271_1,4187957,4187403;4187957,4187171;4187175;4187197;4187199;4187207;4187235;4187237;4187239;4187265;4187267;4187287;4187289;4187295;4187301;4187325;4187327;4187345;4187347;4187367;4187369;4187371;4187383;4187391;4187393;4187395;4187397;4187399;4187403;4187405;4187933;4187945;4187947;4187957;4188079;4188085;4188087
272_1,4188007,4188005;4188007;4188279,4187731;4187737;4187739;4187749;4187765;4188005;4188007;4188279;4188299;4188301
273_1,4188011,4187831;4188011,4187831;4187839;4188011;4188013;4188015;4189333
274_1,4188017,4188017,4187495;4187523;4187605;4187643;4187993;4187995;4188017;4188201;4188203
2748_1,24902758,24902758,24902758
2749_1,24902842,4653606;4653694;4653700;4653704;4653706;4653710;4653732;4653742;4653760;4653762;4653764;4653770;4653772;4655398;4655410;4655434;4655436;24902814;24902816;24902818;24902820;24902822;24902824;24902834;24902836;24902838;24902840;24902842,4651586;4653268;4653270;4653276;4653278;4653280;4653282;4653284;4653286;4653300;4653308;4653310;4653338;4653340;4653342;4653344;4653346;4653348;4653350;4653352;4653354;4653356;4653358;4653360;4653362;4653364;4653366;4653368;4653370;4653380;4653384;4653386;4653400;4653404;4653408;4653584;4653586;4653592;4653594;4653596;4653598;4653600;4653602;4653604;4653606;4653608;4653610;4653612;4653646;4653692;4653694;4653696;4653698;4653700;4653704;4653706;4653708;4653710;4653712;4653714;4653716;4653718;4653720;4653726;4653728;4653730;4653732;4653734;4653736;4653738;4653742;4653760;4653762;4653764;4653766;4653768;4653770;4653772;4653774;4653776;4653782;4653792;4653794;4653796;4653802;4655398;4655410;4655434;4655436;24902814;24902816;24902818;24902820;24902822;24902824;24902834;24902836;24902838;24902840;24902842
275_1,4188035,4185755;4185811;4185881;4185897;4185911;4185943;4185963;4186013;4186209;4186405;4186413;4186423;4186425;4186429;4186433;4186437;4186441;4186449;4186451;4186457;4186459;4186465;4186467;4186469;4186471;4186545;4186549;4186551;4186559;4188029;4188035;4191119,4185505;4185545;4185591;4185593;4185609;4185645;4185669;4185675;4185677;4185687;4185695;4185699;4185721;4185723;4185733;4185753;4185755;4185769;4185771;4185773;4185783;4185801;4185807;4185809;4185811;4185827;4185833;4185839;4185847;4185849;4185851;4185853;4185855;4185861;4185873;4185877;4185881;4185883;4185885;4185889;4185891;4185893;4185897;4185899;4185901;4185903;4185905;4185909;4185911;4185913;4185915;4185921;4185925;4185927;4185929;4185931;4185933;4185935;4185937;4185939;4185943;4185945;4185949;4185957;4185959;4185961;4185963;4185969;4185981;4185987;4185989;4185995;4185997;4186001;4186009;4186013;4186167;4186171;4186181;4186185;4186189;4186195;4186203;4186207;4186209;4186381;4186395;4186397;4186399;4186401;4186405;4186407;4186409;4186411;4186413;4186415;4186417;4186419;4186421;4186423;4186425;4186429;4186431;4186433;4186437;4186439;4186441;4186443;4186447;4186449;4186451;4186455;4186457;4186459;4186461;4186463;4186465;4186467;4186469;4186471;4186473;4186523;4186533;4186535;4186537;4186539;4186541;4186543;4186545;4186547;4186549;4186551;4186553;4186555;4186557;4186559;4186563;4186955;4186959;4186961;4187911;4188029;4188031;4188035;4188037;4191119
2750_1,24902854,4653410;4653418;4653746;4653750;4653752;4653758;4653780;4653784;4653790;24902854,4653374;4653376;4653378;4653388;4653390;4653392;4653394;4653398;4653402;4653406;4653410;4653412;4653414;4653416;4653418;4653420;4653424;4653426;4653622;4653744;4653746;4653748;4653750;4653752;4653754;4653756;4653758;4653778;4653780;4653784;4653786;4653788;4653790;4655438;24902854
2751_1,24902860,24902860,4653372;4653382;4653722;4653724;4653740;24902860
2752_1,24903444,24903444,24903444
2753_1,24903456,24903456,24903456
2754_1,24902756,4651260;4652126;24902754;24902756,4651256;4651260;4651262;4652124;4652126;24902754;24902756
2755_1,932040366,24903424;24903452;24945753;24945757;932040366;932040367;932040368,4494898;4494900;4494950;4494980;4495044;4495052;4495110;4495112;4495116;4495118;4495144;4495146;4495148;4495150;4495158;4496336;4496338;4496362;4496368;4496380;4496520;4496546;4496550;4496556;4651052;4651054;4651056;4651072;4651074;4651076;4651112;4651190;4651874;4651876;4651878;9480410;9480422;9480424;9480426;9480428;9480430;9480432;9480434;9480436;9480438;9480448;9480450;9480454;9480456;9480460;9480462;9480466;9480472;9480474;9480478;9480482;9480488;9480490;9480492;9480510;9480518;9480522;9480524;9480532;9480534;9480546;9480548;9480560;9480562;9480580;9480600;9480602;9480610;9480664;9481566;9481568;9481570;9481572;9481574;9481576;9481578;9481580;9481582;9481584;9481590;9481598;9481638;9481860;9481862;9481878;9481880;9481882;9481884;9481888;9481890;9481892;9481898;9481916;24902746;24902748;24903424;24903428;24903430;24903436;24903452;24945753;24945757;932040347;932040348;932040349;932040350;932040351;932040352;932040353;932040354;932040355;932040356;932040357;932040366;932040367;932040368
2756_1,24903500,24903496;24903500,9480964;9480966;9482240;24903496;24903500
2757_1,24903534,24903464;24903474;24903478;24903486;24903534;932040369;932040370,4651428;4651436;4651438;4651442;4651444;4651450;4651452;4651454;4651456;4651458;4651460;4651468;4651502;4651504;4651514;4651518;4651952;4651964;4652198;4652212;4652220;4652222;4652224;4652384;9480844;9480850;9480856;9480858;9480872;9480874;9480886;9480904;9480908;9480914;9480916;9480940;9481704;9481706;9481708;9481712;9481718;9481720;9481728;9482162;9482164;9482178;9482180;9482186;9482202;9482204;9482208;9482210;9482212;9482222;9482224;9482256;9482258;9489932;9489934;9489936;24902764;24902766;24902770;24902776;24903448;24903464;24903468;24903470;24903474;24903478;24903482;24903486;24903534;932040108;932040109;932040110;932040111;932040182;932040183;932040360;932040361;932040362;932040363;932040364;932040365;932040369;932040370
2758_1,24903548,24903502;24903504;24903512;24903516;24903520;24903524;24903546;24903548,9480928;9480930;9480932;9480934;9480942;9480944;9480946;9480948;9480958;9480978;9480980;9480986;9480998;9481004;9481020;9481022;9481028;9481030;9481042;9481044;9481048;9481734;9481736;9481744;9481762;9481768;9482252;9482272;9482274;9482276;9482282;9482284;9482286;9482290;9482292;9482294;9482296;9482298;9482302;9482304;9482306;9482308;9482314;9482316;9482318;9482340;9482360;9482614;9489940;9489942;9489944;9489946;24903502;24903504;24903512;24903516;24903520;24903522;24903524;24903526;24903542;24903544;24903546;24903548;932040123;932040124;932040125;932040178;932040179
2759_1,24903566,24903538;24903558;24903566,4651532;4651540;4651548;4651552;4651554;4651556;4651558;4651560;4651562;4651582;4651966;4651972;4651974;4651978;4651980;4651984;4652226;4652234;4652238;4652258;4652260;4652262;4652264;4652266;4652268;4652270;4652282;4652394;4652420;4652422;4652424;4652426;4652460;4652462;9481164;9481794;9482608;24903538;24903558;24903560;24903566
276_1,4188121,4188095;4188121,4188095;4188121
2760_1,24903606,9482504;9482508;9482510;9485792;9485796;9485798;24903570;24903606,9481238;9481242;9481276;9481280;9481284;9481290;9482496;9482504;9482506;9482508;9482510;9484334;9484344;9484346;9484352;9484358;9484380;9484384;9484386;9485792;9485794;9485796;9485798;9485806;9485826;9486680;9486704;9489584;9489916;24903570;24903582;24903594;24903596;24903598;24903606;24946948
2761_1,24902858,24902858,4653312;4653314;4653316;4653318;4653320;4653322;4653324;4653326;4653328;4653330;4653332;4653334;4653336;4653702;4653798;24902858
2762_1,24903632,24903632,24903632
2763_1,24903630,24903610;24903612;24903614;24903626;24903630,4651564;4651566;4651568;4651570;4651572;4651574;4651576;4651578;4651580;4651582;4651584;4651590;4651592;4651594;4651972;4651974;4651976;4651978;4651980;4651984;4651986;4651988;4651990;4652276;4652278;4652280;4652282;4652284;4652396;4653258;4653260;4653262;4653264;4653266;4653272;4653274;4653288;4653290;4653292;4653294;4653296;4653298;4653302;4653304;4653306;4653580;4653588;4653666;4653670;4653672;4653674;4653676;4653678;4653680;4653682;4653684;4653686;4653688;4653690;4653800;4655432;9484392;9484410;9484422;9485416;9485420;9485432;9485828;9485840;9486672;9486700;9489876;24902780;24902788;24902790;24902792;24902794;24902796;24902806;24902810;24903574;24903576;24903578;24903580;24903610;24903612;24903614;24903622;24903626;24903630;24946489;932040001;932040002;932040112;932040113;932040114;932040115;932040116;932040184;932040185
2764_1,24903672,24903638;24903640;24903658;24903666;24903668;24903670;24903672,8074112;8074114;8074116;8074118;8074120;9484378;9484420;9484432;9484434;9484438;9484442;9484446;9484450;9484452;9484454;9484470;9484472;9484478;9484480;9484498;9484580;9484610;9485412;9485422;9485436;9485444;9485448;9485974;9485978;9486690;24903638;24903640;24903642;24903650;24903652;24903658;24903660;24903666;24903668;24903670;24903672;24903682;932040117
2765_1,24903688,9484328;9484338;9484406;9484448;9484458;9484460;9484482;9484488;9484494;9484530;9484536;9484564;9485884;9485914;9485942;9486550;9489838;9489842;9489866;24903686;24903688,9484328;9484338;9484382;9484404;9484406;9484440;9484448;9484458;9484460;9484482;9484484;9484488;9484494;9484510;9484512;9484514;9484522;9484530;9484532;9484536;9484538;9484542;9484546;9484548;9484554;9484564;9484572;9484584;9484598;9485402;9485438;9485466;9485914;9485916;9485942;9485964;9486550;9489838;9489840;9489842;9489866;24903686;24903688
